Date,Open,High,Low,Close,Adj Close,Volume
1990-11-06,3.875000,3.875000,3.708333,3.708333,1.437223,1511400
1990-11-07,3.708333,3.750000,3.541667,3.583333,1.388777,1910100
1990-11-08,3.541667,3.750000,3.541667,3.750000,1.453371,1413600
1990-11-09,3.708333,3.833333,3.625000,3.708333,1.437223,1630800
1990-11-12,3.750000,4.083333,3.708333,4.000000,1.550263,1608300
1990-11-13,4.000000,4.041667,3.875000,3.916667,1.517966,639300
1990-11-14,3.916667,4.250000,3.875000,4.125000,1.598708,1391400
1990-11-15,4.000000,4.083333,3.916667,4.000000,1.550263,936300
1990-11-16,4.041667,4.166667,4.000000,4.083333,1.582560,832800
1990-11-19,4.125000,4.291667,4.041667,4.166667,1.614857,843300
1990-11-20,4.125000,4.208333,3.916667,3.916667,1.517966,1521600
1990-11-21,3.875000,3.916667,3.666667,3.875000,1.501817,1342200
1990-11-23,3.875000,3.916667,3.791667,3.791667,1.469520,236100
1990-11-26,3.750000,3.916667,3.708333,3.916667,1.517966,924000
1990-11-27,3.916667,4.000000,3.875000,3.916667,1.517966,937500
1990-11-28,3.875000,3.916667,3.791667,3.791667,1.469520,824400
1990-11-29,3.750000,3.791667,3.666667,3.666667,1.421074,855600
1990-11-30,3.708333,3.833333,3.666667,3.791667,1.469520,1034400
1990-12-03,3.875000,4.041667,3.833333,4.000000,1.550263,977100
1990-12-04,4.125000,4.250000,4.000000,4.166667,1.614857,4585800
1990-12-05,4.166667,4.541667,4.125000,4.500000,1.744046,8360400
1990-12-06,4.666667,4.666667,4.291667,4.416667,1.711749,5669700
1990-12-07,4.416667,4.458333,4.291667,4.416667,1.711749,4098600
1990-12-10,4.333333,4.375000,4.166667,4.291667,1.695290,1259700
1990-12-11,4.291667,4.291667,4.166667,4.208333,1.662371,1089300
1990-12-12,4.250000,4.291667,4.166667,4.250000,1.678830,1382100
1990-12-13,4.208333,4.250000,4.041667,4.125000,1.629453,923100
1990-12-14,4.000000,4.041667,3.833333,3.958333,1.563616,1229400
1990-12-17,3.875000,3.875000,3.625000,3.666667,1.448403,2350200
1990-12-18,3.666667,3.875000,3.625000,3.875000,1.530698,2639400
1990-12-19,3.875000,3.958333,3.833333,3.916667,1.547157,2386500
1990-12-20,3.916667,4.041667,3.833333,3.958333,1.563616,1809600
1990-12-21,3.958333,3.958333,3.791667,3.791667,1.497780,1153500
1990-12-24,3.833333,3.833333,3.750000,3.750000,1.481320,300300
1990-12-26,3.791667,3.833333,3.708333,3.791667,1.497780,785400
1990-12-27,3.791667,3.791667,3.666667,3.708333,1.464862,3094200
1990-12-28,3.666667,3.708333,3.583333,3.625000,1.431943,1118700
1990-12-31,3.625000,3.666667,3.541667,3.583333,1.415485,1360500
1991-01-02,3.625000,3.791667,3.583333,3.750000,1.481320,2010000
1991-01-03,3.791667,3.791667,3.666667,3.750000,1.481320,1107600
1991-01-04,3.750000,3.875000,3.708333,3.791667,1.497780,1329600
1991-01-07,3.708333,3.791667,3.625000,3.625000,1.431943,1274400
1991-01-08,3.666667,3.708333,3.625000,3.625000,1.431943,624000
1991-01-09,3.666667,3.750000,3.500000,3.500000,1.382566,1032000
1991-01-10,3.541667,3.625000,3.541667,3.583333,1.415485,436500
1991-01-11,3.625000,3.666667,3.541667,3.666667,1.448403,523200
1991-01-14,3.583333,3.625000,3.541667,3.541667,1.399025,528900
1991-01-15,3.625000,3.666667,3.583333,3.625000,1.431943,577500
1991-01-16,3.625000,3.708333,3.625000,3.666667,1.448403,740700
1991-01-17,3.833333,3.916667,3.666667,3.666667,1.448403,2193000
1991-01-18,3.666667,3.708333,3.625000,3.708333,1.464862,887100
1991-01-21,3.750000,3.916667,3.708333,3.916667,1.547157,709200
1991-01-22,4.125000,4.250000,4.125000,4.166667,1.645912,1699800
1991-01-23,4.250000,4.333333,4.166667,4.208333,1.662371,1368000
1991-01-24,4.291667,4.375000,4.166667,4.166667,1.645912,749400
1991-01-25,4.250000,4.458333,4.208333,4.416667,1.744667,687300
1991-01-28,4.375000,4.458333,4.375000,4.416667,1.744667,490800
1991-01-29,4.458333,4.500000,4.375000,4.458333,1.761126,1639500
1991-01-30,4.500000,4.500000,4.333333,4.333333,1.711748,1397100
1991-01-31,4.333333,4.416667,4.333333,4.375000,1.728207,1020600
1991-02-01,4.416667,4.583333,4.375000,4.541667,1.794044,5620800
1991-02-04,4.666667,5.208333,4.666667,5.166667,2.040932,6176100
1991-02-05,5.333333,5.333333,5.083333,5.125000,2.024473,8288400
1991-02-06,5.125000,5.125000,4.958333,5.125000,2.024473,1107900
1991-02-07,5.250000,5.416667,5.166667,5.166667,2.040932,1902600
1991-02-08,5.250000,5.416667,5.250000,5.291667,2.090309,1315800
1991-02-11,5.375000,5.833333,5.375000,5.791667,2.287817,2500500
1991-02-12,5.791667,5.833333,5.500000,5.708333,2.254899,2641200
1991-02-13,5.708333,5.958333,5.666667,5.916667,2.337196,2153400
1991-02-14,6.000000,6.000000,5.583333,5.666667,2.238441,1630800
1991-02-15,5.750000,5.833333,5.625000,5.791667,2.287817,1184400
